Page_ID,Class,Count,Confidence_Avg,Min_Confidence,Max_Confidence
1,door,1,0.549,0.549,0.549
1,object,0,0.000,0.000,0.000
1,wall,5,0.628,0.537,0.737
1,window,0,0.000,0.000,0.000
2,door,2,0.655,0.588,0.721
2,object,0,0.000,0.000,0.000
2,wall,9,0.620,0.539,0.709
2,window,0,0.000,0.000,0.000
3,door,0,0.000,0.000,0.000
3,object,0,0.000,0.000,0.000
3,wall,10,0.611,0.514,0.717
3,window,1,0.575,0.575,0.575
4,door,6,0.625,0.533,0.769
4,object,0,0.000,0.000,0.000
4,wall,56,0.641,0.505,0.838
4,window,17,0.629,0.506,0.810
5,door,0,0.000,0.000,0.000
5,object,0,0.000,0.000,0.000
5,wall,31,0.622,0.511,0.756
5,window,0,0.000,0.000,0.000
6,door,1,0.550,0.550,0.550
6,object,0,0.000,0.000,0.000
6,wall,22,0.618,0.504,0.785
6,window,0,0.000,0.000,0.000
7,door,2,0.584,0.523,0.646
7,object,0,0.000,0.000,0.000
7,wall,21,0.620,0.527,0.745
7,window,3,0.531,0.502,0.551
8,door,7,0.676,0.517,0.831
8,object,0,0.000,0.000,0.000
8,wall,53,0.655,0.511,0.861
8,window,12,0.697,0.535,0.840
9,door,0,0.000,0.000,0.000
9,object,0,0.000,0.000,0.000
9,wall,8,0.611,0.529,0.713
9,window,0,0.000,0.000,0.000
10,door,0,0.000,0.000,0.000
10,object,0,0.000,0.000,0.000
10,wall,23,0.595,0.503,0.724
10,window,7,0.623,0.536,0.708
11,door,2,0.653,0.529,0.777
11,object,0,0.000,0.000,0.000
11,wall,33,0.605,0.512,0.804
11,window,0,0.000,0.000,0.000
12,door,2,0.587,0.572,0.601
12,object,0,0.000,0.000,0.000
12,wall,29,0.605,0.500,0.799
12,window,3,0.648,0.537,0.739
13,door,0,0.000,0.000,0.000
13,object,0,0.000,0.000,0.000
13,wall,36,0.635,0.505,0.817
13,window,1,0.607,0.607,0.607
14,door,0,0.000,0.000,0.000
14,object,0,0.000,0.000,0.000
14,wall,29,0.639,0.510,0.788
14,window,0,0.000,0.000,0.000
