Page_ID,Class,Count,Confidence_Avg,Min_Confidence,Max_Confidence
1,door,1,0.755,0.755,0.755
1,object,0,0.000,0.000,0.000
1,wall,0,0.000,0.000,0.000
1,window,0,0.000,0.000,0.000
2,door,0,0.000,0.000,0.000
2,object,0,0.000,0.000,0.000
2,wall,12,0.595,0.510,0.771
2,window,1,0.614,0.614,0.614
3,door,0,0.000,0.000,0.000
3,object,0,0.000,0.000,0.000
3,wall,4,0.559,0.505,0.626
3,window,3,0.702,0.626,0.772
4,door,9,0.692,0.547,0.786
4,object,0,0.000,0.000,0.000
4,wall,54,0.647,0.501,0.830
4,window,18,0.730,0.568,0.818
5,door,1,0.524,0.524,0.524
5,object,0,0.000,0.000,0.000
5,wall,11,0.586,0.538,0.709
5,window,0,0.000,0.000,0.000
6,door,1,0.680,0.680,0.680
6,object,0,0.000,0.000,0.000
6,wall,25,0.586,0.501,0.710
6,window,1,0.633,0.633,0.633
7,door,1,0.649,0.649,0.649
7,object,0,0.000,0.000,0.000
7,wall,18,0.625,0.532,0.789
7,window,3,0.528,0.514,0.554
8,door,11,0.666,0.533,0.811
8,object,0,0.000,0.000,0.000
8,wall,46,0.654,0.500,0.842
8,window,18,0.664,0.510,0.817
9,door,1,0.527,0.527,0.527
9,object,0,0.000,0.000,0.000
9,wall,21,0.620,0.502,0.809
9,window,3,0.635,0.556,0.678
10,door,1,0.671,0.671,0.671
10,object,0,0.000,0.000,0.000
10,wall,28,0.609,0.503,0.764
10,window,0,0.000,0.000,0.000
11,door,4,0.531,0.501,0.578
11,object,0,0.000,0.000,0.000
11,wall,18,0.664,0.503,0.848
11,window,0,0.000,0.000,0.000
12,door,1,0.506,0.506,0.506
12,object,0,0.000,0.000,0.000
12,wall,37,0.651,0.502,0.805
12,window,4,0.658,0.579,0.754
13,door,0,0.000,0.000,0.000
13,object,0,0.000,0.000,0.000
13,wall,2,0.600,0.548,0.652
13,window,0,0.000,0.000,0.000
