Page_ID,Class,Count,Confidence_Avg,Min_Confidence,Max_Confidence
1,door,0,0.000,0.000,0.000
1,object,0,0.000,0.000,0.000
1,wall,2,0.580,0.537,0.622
1,window,0,0.000,0.000,0.000
2,door,1,0.674,0.674,0.674
2,object,0,0.000,0.000,0.000
2,wall,35,0.681,0.505,0.870
2,window,0,0.000,0.000,0.000
3,door,0,0.000,0.000,0.000
3,object,0,0.000,0.000,0.000
3,wall,17,0.624,0.579,0.703
3,window,0,0.000,0.000,0.000
4,door,0,0.000,0.000,0.000
4,object,0,0.000,0.000,0.000
4,wall,7,0.599,0.538,0.708
4,window,0,0.000,0.000,0.000
5,door,9,0.789,0.591,0.885
5,object,0,0.000,0.000,0.000
5,wall,46,0.668,0.524,0.814
5,window,6,0.665,0.516,0.769
6,door,0,0.000,0.000,0.000
6,object,0,0.000,0.000,0.000
6,wall,5,0.545,0.503,0.622
6,window,2,0.661,0.590,0.732
7,door,0,0.000,0.000,0.000
7,object,0,0.000,0.000,0.000
7,wall,8,0.608,0.529,0.738
7,window,0,0.000,0.000,0.000
8,door,1,0.670,0.670,0.670
8,object,0,0.000,0.000,0.000
8,wall,16,0.605,0.507,0.812
8,window,4,0.575,0.507,0.624
9,door,10,0.746,0.514,0.875
9,object,0,0.000,0.000,0.000
9,wall,48,0.644,0.504,0.866
9,window,16,0.624,0.509,0.788
10,door,1,0.829,0.829,0.829
10,object,0,0.000,0.000,0.000
10,wall,43,0.678,0.506,0.860
10,window,0,0.000,0.000,0.000
11,door,0,0.000,0.000,0.000
11,object,0,0.000,0.000,0.000
11,wall,27,0.627,0.505,0.810
11,window,2,0.604,0.526,0.683
12,door,1,0.779,0.779,0.779
12,object,0,0.000,0.000,0.000
12,wall,22,0.654,0.535,0.852
12,window,2,0.642,0.594,0.689
13,door,0,0.000,0.000,0.000
13,object,0,0.000,0.000,0.000
13,wall,20,0.704,0.521,0.895
13,window,1,0.646,0.646,0.646
14,door,0,0.000,0.000,0.000
14,object,0,0.000,0.000,0.000
14,wall,17,0.648,0.514,0.824
14,window,0,0.000,0.000,0.000
15,door,0,0.000,0.000,0.000
15,object,0,0.000,0.000,0.000
15,wall,7,0.627,0.548,0.739
15,window,1,0.641,0.641,0.641
